Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001062,Male,No,0,Graduate,No,4500,0.0,100.0,360.0,1.0,Urban,Y
LP001064,Male,Yes,0,Graduate,No,5000,2000.0,189.0,360.0,1.0,Urban,Y
LP001066,Male,Yes,0,Not Graduate,No,3816,2768.0,150.0,360.0,1.0,Semiurban,Y
LP001068,Male,No,0,Graduate,No,3490,0.0,96.0,360.0,1.0,Urban,Y
LP001072,Male,Yes,0,Graduate,No,4750,1600.0,187.0,360.0,1.0,Urban,Y
LP001073,Male,No,0,Graduate,No,2000,0.0,51.0,360.0,1.0,Urban,Y
LP001074,Male,Yes,0,Graduate,No,4158,0.0,100.0,360.0,1.0,Semiurban,Y
LP001076,Male,Yes,0,Graduate,No,4758,0.0,125.0,360.0,1.0,Urban,Y
LP001078,Male,No,0,Graduate,No,3400,0.0,90.0,360.0,1.0,Urban,Y
LP001079,Male,No,0,Graduate,Yes,12500,0.0,298.0,360.0,1.0,Urban,Y
LP001080,Male,No,0,Graduate,No,4000,0.0,109.0,360.0,1.0,Urban,Y
LP001083,Male,Yes,0,Graduate,No,2917,2542.0,143.0,360.0,1.0,Urban,Y
LP001085,Male,Yes,0,Graduate,No,4106,0.0,116.0,360.0,1.0,Urban,Y
LP001086,Female,No,0,Graduate,No,4583,0.0,100.0,360.0,1.0,Semiurban,Y
LP001088,Male,No,0,Graduate,No,2600,0.0,72.0,360.0,1.0,Urban,Y
LP001090,Male,Yes,0,Graduate,No,7660,0.0,147.0,360.0,1.0,Urban,Y
LP001091,Male,Yes,0,Graduate,No,3500,0.0,109.0,360.0,1.0,Urban,Y
LP001094,Male,Yes,1,Graduate,No,5000,1800.0,150.0,360.0,1.0,Urban,Y
LP001095,Male,No,0,Not Graduate,No,1958,0.0,60.0,360.0,1.0,Urban,Y
LP001096,Male,Yes,0,Graduate,No,2500,0.0,100.0,360.0,1.0,Rural,N
LP001097,Male,No,0,Graduate,No,3500,0.0,100.0,360.0,1.0,Urban,Y
LP001098,Female,No,0,Graduate,No,2119,0.0,70.0,360.0,1.0,Semiurban,Y
LP001099,Male,Yes,0,Graduate,No,6600,0.0,155.0,360.0,1.0,Urban,Y
LP001100,Male,No,0,Graduate,No,2800,0.0,75.0,360.0,1.0,Urban,Y
LP001101,Male,Yes,1,Graduate,No,3167,2917.0,137.0,360.0,1.0,Urban,Y
LP001102,Male,Yes,0,Graduate,No,4083,1667.0,166.0,360.0,1.0,Urban,Y
LP001103,Male,No,0,Graduate,No,4583,0.0,115.0,360.0,1.0,Urban,Y
LP001104,Male,Yes,0,Not Graduate,No,3333,0.0,90.0,360.0,1.0,Urban,Y
LP001105,Male,Yes,0,Graduate,No,5833,0.0,128.0,360.0,1.0,Urban,Y
LP001106,Male,No,0,Graduate,No,4167,0.0,100.0,360.0,1.0,Urban,Y
LP001107,Male,Yes,0,Graduate,No,4583,0.0,128.0,360.0,1.0,Urban,Y
LP001108,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001109,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001110,Male,Yes,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001111,Male,Yes,1,Graduate,No,3333,0.0,90.0,360.0,1.0,Urban,Y
LP001112,Male,Yes,0,Graduate,No,4583,0.0,128.0,360.0,1.0,Urban,Y
LP001113,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001114,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001115,Male,Yes,2,Graduate,No,3333,2500.0,125.0,360.0,1.0,Rural,Y
LP001116,Male,Yes,0,Not Graduate,No,2000,2500.0,113.0,360.0,1.0,Semiurban,Y
LP001117,Male,No,0,Graduate,No,4500,0.0,128.0,360.0,1.0,Urban,Y
LP001118,Male,Yes,1,Graduate,No,3750,1500.0,140.0,360.0,1.0,Urban,Y
LP001119,Female,No,0,Graduate,No,3333,0.0,76.0,360.0,1.0,Semiurban,Y
LP001120,Male,No,0,Not Graduate,No,2167,0.0,64.0,360.0,1.0,Urban,Y
LP001121,Male,Yes,0,Graduate,No,5417,0.0,128.0,360.0,1.0,Urban,Y
LP001122,Male,Yes,0,Graduate,No,4167,1667.0,152.0,360.0,1.0,Urban,Y
LP001123,Male,No,0,Graduate,No,2583,0.0,66.0,360.0,1.0,Urban,Y
LP001124,Male,Yes,2,Graduate,No,3000,1000.0,110.0,360.0,1.0,Rural,Y
LP001125,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001126,Male,Yes,0,Graduate,No,6250,0.0,152.0,360.0,1.0,Urban,Y
LP001127,Male,No,0,Graduate,No,3333,0.0,90.0,360.0,1.0,Urban,Y
LP001128,Male,Yes,1,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001129,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001130,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,0.0,Urban,N
LP001131,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001132,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001133,Male,Yes,2,Graduate,No,5833,0.0,152.0,360.0,1.0,Rural,Y
LP001134,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001135,Male,Yes,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001136,Male,No,0,Graduate,No,3333,0.0,90.0,360.0,1.0,Urban,Y
LP001137,Male,Yes,1,Graduate,No,2500,2083.0,116.0,360.0,1.0,Rural,N
LP001138,Male,Yes,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001139,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001140,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001141,Male,Yes,0,Not Graduate,No,3333,1667.0,128.0,360.0,1.0,Semiurban,Y
LP001142,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001143,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001144,Male,Yes,2,Graduate,No,3750,1250.0,140.0,360.0,1.0,Rural,Y
LP001145,Male,No,0,Graduate,No,4583,0.0,128.0,360.0,1.0,Urban,Y
LP001146,Male,Yes,0,Graduate,No,5833,0.0,152.0,360.0,1.0,Urban,Y
LP001147,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001148,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001149,Male,Yes,1,Graduate,No,4167,1250.0,152.0,360.0,1.0,Urban,Y
LP001150,Male,No,0,Graduate,No,3333,0.0,90.0,360.0,1.0,Urban,Y
LP001151,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001152,Male,Yes,0,Graduate,No,5000,2000.0,175.0,360.0,1.0,Urban,Y
LP001153,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001154,Male,Yes,2,Not Graduate,No,2500,1667.0,110.0,360.0,1.0,Rural,N
LP001155,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001156,Male,No,0,Graduate,No,5833,0.0,152.0,360.0,1.0,Urban,Y
LP001157,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001158,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001159,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001160,Male,Yes,1,Graduate,No,5000,1667.0,175.0,360.0,1.0,Urban,Y
LP001161,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001162,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001163,Male,Yes,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001164,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001165,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001166,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001167,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001168,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001169,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001170,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001171,Male,Yes,1,Graduate,No,5833,1250.0,187.0,360.0,1.0,Urban,Y
LP001172,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001173,Male,Yes,0,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001174,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001175,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001176,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,0.0,Rural,N
LP001177,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001178,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001179,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001180,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001181,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001182,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001183,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001184,Male,Yes,0,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001185,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001186,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001187,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001188,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001189,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001190,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001191,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001192,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001193,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001194,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001195,Male,Yes,0,Graduate,No,3333,2083.0,128.0,360.0,1.0,Rural,Y
LP001196,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001197,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001198,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001199,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001200,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001201,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001202,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001203,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001204,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001205,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001206,Male,Yes,0,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001207,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001208,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001209,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001210,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001211,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001212,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001213,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001214,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001215,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001216,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001217,Male,Yes,0,Graduate,No,3750,2083.0,152.0,360.0,1.0,Rural,Y
LP001218,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001219,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001220,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001221,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001222,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001223,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001224,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001225,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001226,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001227,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001228,Male,Yes,0,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001229,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001230,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001231,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001232,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001233,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001234,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001235,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001236,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001237,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001238,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001239,Male,Yes,0,Graduate,No,3750,2083.0,152.0,360.0,1.0,Rural,Y
LP001240,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001241,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001242,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001243,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001244,Male,No,0,Graduate,No,5417,0.0,140.0,360.0,1.0,Urban,Y
LP001245,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001246,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001247,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001248,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001249,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001250,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001251,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001252,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001253,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001254,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001256,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001257,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001258,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001259,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001260,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001261,Male,Yes,0,Graduate,No,3750,2083.0,152.0,360.0,1.0,Rural,Y
LP001262,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001263,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001264,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001265,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001266,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001267,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001268,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001269,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001270,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001271,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001272,Male,Yes,0,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001273,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001274,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001275,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001276,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001277,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001278,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001279,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001280,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001281,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001282,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001283,Male,Yes,0,Graduate,No,3750,2083.0,152.0,360.0,1.0,Rural,Y
LP001284,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001285,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001286,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001287,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001288,Male,No,0,Graduate,No,5417,0.0,140.0,360.0,1.0,Urban,Y
LP001289,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001290,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001291,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001292,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001293,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001294,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001295,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001296,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001297,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001298,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001299,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001300,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001301,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001302,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001303,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001304,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001305,Male,Yes,0,Graduate,No,3750,2083.0,152.0,360.0,1.0,Rural,Y
LP001306,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001307,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001308,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001309,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001310,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001311,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001312,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001313,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001314,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001315,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001316,Male,Yes,0,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001317,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001318,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001319,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001320,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001321,Male,No,0,Graduate,No,5417,0.0,140.0,360.0,1.0,Urban,Y
LP001322,Male,Yes,0,Graduate,No,4583,1250.0,152.0,360.0,1.0,Urban,Y
LP001323,Male,No,0,Not Graduate,No,2083,0.0,58.0,360.0,1.0,Urban,Y
LP001324,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001325,Male,Yes,1,Graduate,No,5833,1667.0,200.0,360.0,1.0,Urban,Y
LP001326,Male,No,0,Graduate,No,4167,0.0,113.0,360.0,1.0,Urban,Y
LP001327,Male,Yes,0,Graduate,No,3750,2083.0,152.0,360.0,1.0,Rural,Y
LP001328,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,0.0,Semiurban,N
LP001329,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001330,Male,Yes,2,Not Graduate,No,2500,1250.0,100.0,360.0,1.0,Rural,N
LP001331,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,1.0,Semiurban,Y
LP001332,Male,No,0,Graduate,No,5000,0.0,128.0,360.0,1.0,Urban,Y
LP001333,Male,Yes,0,Graduate,No,4583,1667.0,166.0,360.0,1.0,Urban,Y
LP001334,Male,No,0,Graduate,No,3750,0.0,100.0,360.0,1.0,Urban,Y
LP001335,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
LP001336,Male,Yes,1,Graduate,No,5000,2083.0,175.0,360.0,1.0,Urban,Y
LP001337,Male,No,0,Not Graduate,No,2500,0.0,70.0,360.0,1.0,Urban,Y
LP001338,Male,Yes,0,Graduate,No,4167,1667.0,160.0,360.0,1.0,Urban,Y
LP001339,Female,No,0,Graduate,No,2083,0.0,58.0,360.0,0.0,Semiurban,N
LP001340,Male,No,0,Graduate,No,6250,0.0,175.0,360.0,1.0,Urban,Y
LP001341,Male,Yes,2,Graduate,No,3333,2500.0,140.0,360.0,1.0,Rural,Y
LP001342,Female,No,0,Graduate,No,2500,0.0,70.0,360.0,1.0,Semiurban,Y
